"Area","Rooms","Distance_to_Center","Rent_Price","Has_Terrace","Noise_Level"
81,3,2,2936,0,41.6
24,2,1.73,1457,0,47.6
98,5,0.8,4303,0,50.2
79,3,1.66,3003,1,46.3
75,4,0.5,3350,0,70
77,3,0.62,3047,0,42.1
55,2,2.05,2028,0,36.4
85,5,1.39,3383,0,50.1
91,4,1.57,3654,0,46.8
89,5,0.77,3870,0,45.7
55,1,0.63,2031,0,51.7
68,4,1.28,2801,0,58.4
74,2,2.71,2344,0,49
57,2,1.25,2048,0,38.1
68,5,2.31,2573,0,42.3
78,3,5.41,2097,0,65.2
20,1,3.94,1111,0,56.2
100,3,2.83,3415,0,52
99,3,2.41,3350,1,44.4
111,4,3.34,3783,1,60.9
79,2,3,2529,0,62.3
70,3,0.5,2999,0,56.4
73,4,4.98,2107,0,52.5
91,3,11.61,1483,0,50.1
52,2,1.37,2034,0,54.7
53,2,0.57,2239,0,51
53,2,2.55,1838,0,65.3
82,4,1.06,3276,0,51
97,4,2,3633,0,65.9
77,4,0.5,3432,0,43.1
65,2,1.91,2125,1,47
96,4,0.5,4106,1,39.9
62,3,0.52,2681,1,60.1
67,3,2.47,2400,1,46
74,3,1.9,2680,0,45
77,2,0.5,2843,1,54.7
61,2,3.56,1946,0,40.7
75,3,0.87,2955,0,34.4
51,2,0.5,2183,0,47.4
94,3,1.79,3362,1,37.4
79,4,0.5,3318,0,41.3
85,4,0.61,3748,1,58.9
45,4,0.5,2179,0,60.2
98,5,15.52,1257,0,47.5
50,3,2.02,2037,1,44.4
85,3,0.5,3464,0,63.1
69,2,2.46,2260,0,53.3
53,2,1.02,2071,0,45.7
74,4,1.02,2975,0,58.9
78,3,6.39,1955,1,54.9
95,3,2.93,3157,1,52.1
57,4,5,1797,0,56.3
73,5,0.5,3258,1,55.9
53,3,1.57,2183,1,46.8
71,4,0.69,2848,0,45.7
34,2,5.35,1275,0,54.9
87,3,0.5,3390,0,48.1
67,2,1.33,2294,1,54.9
50,4,6.12,1461,1,59.6
71,4,3.73,2224,0,50.6
57,3,0.5,2398,0,63.4
92,4,3.37,3308,0,51
47,3,1.55,2025,0,46.5
55,3,8.93,1238,1,53.5
98,3,2.27,3255,1,56
68,3,1.59,2519,0,43.7
45,2,0.6,2043,0,40.2
41,2,3.99,1430,1,65.7
76,4,0.5,3145,0,45.2
60,1,2.28,1953,0,42.6
76,3,1.99,2713,0,41.4
56,1,4.28,1618,1,65.1
64,3,3.68,2114,0,49.4
90,5,2.2,3675,0,44.2
70,3,1.76,2544,0,56
103,3,1.65,3840,1,61.8
85,3,2.82,2783,0,52.5
99,4,6.39,2711,1,55.9
68,4,8.23,1533,1,57
69,2,5.95,1718,0,52.2
61,3,2.1,2160,1,57
79,3,1.13,2990,0,54.7
41,4,1.76,1859,1,43.9
41,1,3.12,1471,0,63.2
82,3,3.08,2708,0,32
76,3,1.01,2890,0,43.6
59,3,2.53,2051,0,63.3
96,3,1.81,3460,0,55.9
38,1,0.71,1648,0,57.8
20,1,0.75,1375,0,59.7
86,3,0.73,3233,0,66
55,4,6.32,1551,0,35.5
84,2,1.95,2838,0,47.8
119,3,4.59,3751,1,49.2
64,3,0.5,2538,1,50.4
62,5,0.75,2819,0,63.1
55,4,2.78,2090,0,42.4
65,3,3.96,2007,0,37.1
81,3,0.5,3202,0,44.2
72,4,0.95,2997,1,44.5
