"Area","Rooms","Distance_to_Center","Rent_Price","Has_Terrace","Noise_Level"
40,3,3.44,1643,0,40.6
44,1,1,1770,1,49.1
73,1,4.32,2011,1,45.1
123,5,2.6,4899,0,40.3
44,2,1.41,1862,1,57.2
61,2,1.14,2175,1,53.6
82,2,4.52,2272,1,40.9
85,2,0.5,3341,0,70
79,3,4.41,2327,0,59.8
57,2,4.22,1584,0,58.7
68,2,1.47,2549,0,44.2
77,3,0.54,3173,0,68.9
44,4,2.06,2008,0,62.3
49,2,0.5,2133,0,66.8
52,3,1.27,2169,1,48.4
72,3,4.66,2089,0,68.9
58,3,5.36,1686,1,49.6
81,4,2.98,2872,0,56.8
58,2,3.19,1854,0,44.3
92,3,0.5,3578,0,41.5
49,2,4.28,1506,1,37.4
83,4,5.33,2328,0,28.4
78,5,7.2,2073,0,63.1
66,3,1.98,2433,0,35.1
80,4,0.87,3166,0,37.7
79,3,3,2591,0,63
82,4,0.97,3339,0,52.7
95,3,2.49,3278,1,44.8
70,3,5.35,1932,0,52.1
48,1,8.18,1077,0,44.3
92,4,7.07,2204,1,58.8
46,2,2.34,1791,1,45
79,4,0.98,3227,0,54.7
79,5,6.48,2169,0,41.2
48,3,2.66,1788,0,43.4
75,3,1.03,2944,0,35.9
90,3,1.34,3146,0,39.4
75,3,1.4,2870,0,53.1
64,3,2.04,2333,1,49.9
59,3,5.86,1641,1,42.6
68,3,0.5,2956,1,38.6
60,2,1.34,2250,0,48.4
62,3,5.37,1776,0,48
45,3,1.71,1849,0,70.4
78,3,7.54,1808,0,35.6
70,4,4.44,2208,0,46.2
71,3,2.49,2496,0,52.3
69,5,1.9,2787,1,57.2
94,4,1.64,3681,0,39.4
107,4,2.69,3706,0,61.6
71,2,0.5,2727,1,52
69,3,9.78,1330,1,59.2
44,2,0.5,1988,0,59.8
69,2,2.77,2254,0,51.3
112,5,7.52,2910,0,44.9
65,1,2.95,1987,1,46.5
55,3,0.5,2492,0,56.4
73,4,3.23,2396,0,36.2
50,2,1.08,2058,0,52.6
85,2,0.5,3480,0,52
91,3,4.79,2601,0,59.8
58,4,4.03,2075,0,52
78,4,0.5,3391,1,57.9
66,3,12.2,1055,0,63.6
87,3,0.5,3313,0,46.3
87,3,1.53,3125,0,47
79,3,12.64,1215,0,42.2
46,3,0.85,2043,1,54.7
76,2,2.91,2307,0,65.5
102,4,1.65,4106,1,37.1
92,3,4.24,2646,1,62
73,3,0.72,2878,0,55.1
75,3,4.89,2146,0,56.7
78,4,3.17,2677,1,56.8
37,2,7.29,1115,1,41.8
92,3,4.34,2737,1,54.2
67,2,1.63,2422,0,46.1
76,2,1.34,2824,0,42.2
48,2,0.58,2124,0,41.1
43,1,1.62,1733,0,54.3
82,2,0.5,3324,1,55.2
108,5,0.71,4884,0,40.3
84,4,1.1,3400,0,56.3
114,4,1.35,4690,1,54.2
54,1,2.94,1627,1,64.4
81,4,0.97,3052,0,43.1
63,4,2.87,2137,0,34.3
87,4,0.81,3546,1,46.2
67,4,0.5,2746,0,43.7
70,4,8.97,1593,1,30.8
99,5,1.92,4188,1,53.7
76,3,0.5,3120,0,43
75,3,3.17,2511,1,52.4
99,3,2.56,3343,1,74.6
74,2,2.01,2486,0,71.3
71,3,0.5,2926,0,47.9
46,1,1.13,1832,0,32.7
52,3,1.82,1997,1,55.8
94,2,5.15,2493,0,37
68,4,16.42,773,1,50.8
