"Area","Rooms","Distance_to_Center","Rent_Price","Has_Terrace","Noise_Level"
62,3,2.06,2284,1,44.2
72,4,2.38,2651,0,48
119,3,4.12,3713,0,49.3
73,3,8.52,1553,1,44.2
32,1,3.65,1269,0,55
83,5,5.94,2455,0,59.5
49,3,0.96,2147,0,35.9
87,4,0.68,3639,0,30
97,3,4.78,2880,0,58.9
86,3,1.02,3280,1,48.5
64,4,8.21,1509,1,53.1
38,2,14.88,638,0,57.9
64,3,0.73,2795,1,55.9
56,1,3.89,1655,1,69.6
68,4,3.19,2417,0,33.4
63,2,1,2421,1,35.5
61,3,15.65,752,0,65.9
88,4,2.37,3005,1,33.3
40,2,1.82,1693,0,51.7
94,3,0.5,3674,1,53
74,4,5.34,2163,0,50.8
42,2,0.94,1806,1,40.1
92,4,7.28,2206,0,63
99,3,1.88,3397,0,30.9
46,2,0.5,2040,0,50.3
90,3,3.22,2850,0,53
68,2,16.08,758,0,54.5
90,3,1.08,3398,0,36.4
72,4,0.5,3121,1,43.5
78,5,5.2,2314,0,34.5
71,2,1.31,2517,1,56.1
47,3,5.58,1429,1,73.6
44,2,1.83,1858,0,40.9
58,1,0.56,2169,1,63.9
41,2,0.56,1918,0,65.4
61,3,1.51,2356,1,65.8
105,4,0.5,4636,0,45.2
36,3,8.46,1046,1,46
73,4,5.53,2082,1,76.3
70,3,2.08,2452,0,38.3
76,2,0.5,2944,0,64
89,5,1.59,3635,0,58.8
48,3,0.81,2127,0,44.6
110,4,2.61,4031,0,39.2
47,3,4.13,1603,0,51
98,5,0.5,4400,0,61.2
91,5,3.72,3108,0,58.8
69,3,2.15,2371,0,46.1
73,2,3.77,2223,0,53
40,2,5.68,1340,1,36.3
91,3,2.57,3196,1,34.6
45,3,1.95,1938,1,35.6
29,1,1.05,1476,1,64.3
56,2,2.81,2015,0,43.3
92,5,0.58,4018,1,61.1
90,3,0.91,3615,1,45.6
59,1,0.95,2113,0,57.4
46,2,1.75,1895,0,51.1
54,3,0.81,2324,1,41
21,2,1.58,1312,0,56.1
86,3,2.04,3118,0,54.9
84,3,2.47,2763,0,71.3
61,3,7.68,1503,0,51.3
55,2,0.78,2130,1,69.9
95,3,6.13,2468,1,46.2
83,3,2.21,2819,0,59.7
86,4,2.86,2991,1,61.4
95,5,4.85,3001,0,39.5
80,5,6.44,2172,0,48.7
69,3,1.22,2572,0,48
47,3,1.72,1960,0,68.7
69,5,1.59,2925,1,60.5
70,2,7.18,1498,0,48.7
79,4,0.76,3195,0,63.8
55,3,0.5,2384,0,55.6
34,3,1.91,1682,1,63.2
22,2,3.6,1135,1,44.5
92,2,9.48,1682,0,53.3
42,3,1.8,1914,0,38.8
74,4,4.27,2354,0,37.2
76,4,3.46,2568,0,52.2
75,2,2.36,2565,0,42.7
69,3,8.56,1458,0,52.7
57,3,2.83,2002,0,48.4
76,3,1.58,2907,0,58.5
86,3,2.2,2971,1,47.9
66,3,1.3,2634,1,62.6
83,3,2.3,2935,0,71
40,3,2.69,1696,1,52.1
67,4,2.02,2655,0,39
101,4,10.69,1911,0,43.7
94,4,0.5,3829,0,64
51,3,3.43,1690,0,67.1
78,4,5.02,2232,0,50.3
92,4,0.72,3719,0,59.6
71,2,2.78,2355,1,54.6
44,1,1.66,1694,0,55.4
78,3,0.5,3175,1,60.7
80,3,8.26,1669,1,49.9
99,4,3.82,3132,0,46.9
