outcome,treatment
0.5540574963311423,T1
0.10574204960991732,T1
1.1920468889177527,T1
0.27016869447454495,T1
0.3437858882663002,T1
1.0933729035941901,T1
0.5853231063077498,T1
-1.859042122913823,T1
1.1115957705116768,T1
3.318150626710377,T1
0.9112294562214891,T2
-0.5043938978058486,T2
1.2493432520572934,T2
0.7200291021770615,T2
1.7913112846182764,T2
1.8433208360897462,T2
-1.3546573965303028,T3
0.8442964738759304,T3
7.714585386811505,T3
10.384391170470659,T3
0.32011891175976165,T3
-7.3722900194378,T3
1.1942290682588261,T3
9.101111278065284,T3
-2.1283461754351594,T3
3.3463646244551635,T3
