grup,data,hora_inici,hora_final,capsula,pes_mg
G10,2026-04-21,14:00,14:20,1,302.5
G10,2026-04-21,14:00,14:20,2,296.4
G10,2026-04-21,14:00,14:20,3,300.9
G10,2026-04-21,14:00,14:20,4,301.5
G10,2026-04-21,14:00,14:20,5,301.8
G10,2026-04-21,14:00,14:20,6,302.7
G10,2026-04-21,14:00,14:20,7,296.9
G10,2026-04-21,14:00,14:20,8,302.2
G10,2026-04-21,14:00,14:20,9,305.0
G10,2026-04-21,14:00,14:20,10,299.7
G10,2026-04-21,14:00,14:20,11,298.3
G10,2026-04-21,14:00,14:20,12,299.3
G10,2026-04-21,14:00,14:20,13,299.9
G10,2026-04-21,14:00,14:20,14,300.8
G10,2026-04-21,14:00,14:20,15,300.2
G10,2026-04-21,14:00,14:20,16,302.7
G10,2026-04-21,14:00,14:20,17,301.5
G10,2026-04-21,14:00,14:20,18,301.0
G10,2026-04-21,14:00,14:20,19,299.1
G10,2026-04-21,14:00,14:20,20,304.8
G10,2026-04-21,14:00,14:20,21,301.0
G10,2026-04-21,14:00,14:20,22,303.2
G10,2026-04-21,14:00,14:20,23,295.8
G10,2026-04-21,14:00,14:20,24,303.6
G10,2026-04-21,14:00,14:20,25,303.5
G10,2026-04-21,14:00,14:20,26,297.1
G10,2026-04-21,14:00,14:20,27,299.2
G10,2026-04-21,14:00,14:20,28,303.1
G10,2026-04-21,14:00,14:20,29,303.6
G10,2026-04-21,14:00,14:20,30,302.5
G10,2026-04-21,14:00,14:20,31,300.6
G10,2026-04-21,14:00,14:20,32,305.4
G10,2026-04-21,14:00,14:20,33,299.5
G10,2026-04-21,14:00,14:20,34,302.4
G10,2026-04-21,14:00,14:20,35,303.1
G10,2026-04-21,14:00,14:20,36,304.5
G10,2026-04-21,14:00,14:20,37,302.6
G10,2026-04-21,14:00,14:20,38,306.4
G10,2026-04-21,14:00,14:20,39,301.6
G10,2026-04-21,14:00,14:20,40,307.2
G10,2026-04-21,14:00,14:20,41,306.1
G10,2026-04-21,14:00,14:20,42,298.8
G10,2026-04-21,14:00,14:20,43,300.9
G10,2026-04-21,14:00,14:20,44,301.8
G10,2026-04-21,14:00,14:20,45,300.1
G10,2026-04-21,14:00,14:20,46,304.3
G10,2026-04-21,14:00,14:20,47,299.5
G10,2026-04-21,14:00,14:20,48,300.3
G10,2026-04-21,14:00,14:20,49,298.8
G10,2026-04-21,14:00,14:20,50,295.4
G10,2026-04-21,14:00,14:20,51,301.2
G10,2026-04-21,14:00,14:20,52,294.9
G10,2026-04-21,14:00,14:20,53,298.4
G10,2026-04-21,14:00,14:20,54,300.9
G10,2026-04-21,14:00,14:20,55,303.1
G10,2026-04-21,14:00,14:20,56,303.0
G10,2026-04-21,14:00,14:20,57,299.8
G10,2026-04-21,14:00,14:20,58,296.7
G10,2026-04-21,14:00,14:20,59,303.6
G10,2026-04-21,14:00,14:20,60,305.4
G10,2026-04-21,14:00,14:20,61,298.3
G10,2026-04-21,14:00,14:20,62,303.9
G10,2026-04-21,14:00,14:20,63,306.3
G10,2026-04-21,14:00,14:20,64,298.3
G10,2026-04-21,14:00,14:20,65,296.6
G10,2026-04-21,14:00,14:20,66,301.9
G10,2026-04-21,14:00,14:20,67,305.3
G10,2026-04-21,14:00,14:20,68,300.5
G10,2026-04-21,14:00,14:20,69,303.5
G10,2026-04-21,14:00,14:20,70,306.4
G10,2026-04-21,14:00,14:20,71,297.9
G10,2026-04-21,14:00,14:20,72,303.5
G10,2026-04-21,14:00,14:20,73,303.7
G10,2026-04-21,14:00,14:20,74,308.6
G10,2026-04-21,14:00,14:20,75,303.9
G10,2026-04-21,14:00,14:20,76,300.0
G10,2026-04-21,14:00,14:20,77,301.0
G10,2026-04-21,14:00,14:20,78,299.2
G10,2026-04-21,14:00,14:20,79,303.8
G10,2026-04-21,14:00,14:20,80,299.9
G10,2026-04-21,14:00,14:20,81,303.4
G10,2026-04-21,14:00,14:20,82,306.6
G10,2026-04-21,14:00,14:20,83,303.3
G10,2026-04-21,14:00,14:20,84,301.8
G10,2026-04-21,14:00,14:20,85,301.7
G10,2026-04-21,14:00,14:20,86,302.9
G10,2026-04-21,14:00,14:20,87,301.1
G10,2026-04-21,14:00,14:20,88,303.2
G10,2026-04-21,14:00,14:20,89,300.8
G10,2026-04-21,14:00,14:20,90,305.5
G10,2026-04-21,14:00,14:20,91,296.1
G10,2026-04-21,14:00,14:20,92,302.1
G10,2026-04-21,14:00,14:20,93,304.1
G10,2026-04-21,14:00,14:20,94,302.5
G10,2026-04-21,14:00,14:20,95,299.7
G10,2026-04-21,14:00,14:20,96,299.7
G10,2026-04-21,14:00,14:20,97,303.0
G10,2026-04-21,14:00,14:20,98,300.1
G10,2026-04-21,14:00,14:20,99,299.6
G10,2026-04-21,14:00,14:20,100,293.9
G10,2026-04-21,14:00,14:20,101,296.3
G10,2026-04-21,14:00,14:20,102,298.7
G10,2026-04-21,14:00,14:20,103,298.3
G10,2026-04-21,14:00,14:20,104,298.1
G10,2026-04-21,14:00,14:20,105,298.3
G10,2026-04-21,14:00,14:20,106,298.7
G10,2026-04-21,14:00,14:20,107,298.7
G10,2026-04-21,14:00,14:20,108,298.6
G10,2026-04-21,14:00,14:20,109,299.7
G10,2026-04-21,14:00,14:20,110,303.9
G10,2026-04-21,14:00,14:20,111,298.6
G10,2026-04-21,14:00,14:20,112,303.4
G10,2026-04-21,14:00,14:20,113,301.9
G10,2026-04-21,14:00,14:20,114,297.8
G10,2026-04-21,14:00,14:20,115,299.2
G10,2026-04-21,14:00,14:20,116,301.3
G10,2026-04-21,14:00,14:20,117,300.0
G10,2026-04-21,14:00,14:20,118,303.3
G10,2026-04-21,14:00,14:20,119,299.9
G10,2026-04-21,14:00,14:20,120,300.5
G10,2026-04-21,14:00,14:20,121,306.2
G10,2026-04-21,14:00,14:20,122,301.6
G10,2026-04-21,14:00,14:20,123,301.7
G10,2026-04-21,14:00,14:20,124,301.3
G10,2026-04-21,14:00,14:20,125,297.7
G10,2026-04-21,14:00,14:20,126,300.7
G10,2026-04-21,14:00,14:20,127,308.6
G10,2026-04-21,14:00,14:20,128,300.1
G10,2026-04-21,14:00,14:20,129,304.3
G10,2026-04-21,14:00,14:20,130,302.2
G10,2026-04-21,14:00,14:20,131,301.1
G10,2026-04-21,14:00,14:20,132,304.2
G10,2026-04-21,14:00,14:20,133,298.0
G10,2026-04-21,14:00,14:20,134,301.7
G10,2026-04-21,14:00,14:20,135,298.2
G10,2026-04-21,14:00,14:20,136,301.2
G10,2026-04-21,14:00,14:20,137,301.4
G10,2026-04-21,14:00,14:20,138,297.9
G10,2026-04-21,14:00,14:20,139,298.8
G10,2026-04-21,14:00,14:20,140,300.8
G10,2026-04-21,14:00,14:20,141,299.5
G10,2026-04-21,14:00,14:20,142,300.5
G10,2026-04-21,14:00,14:20,143,303.7
G10,2026-04-21,14:00,14:20,144,297.8
G10,2026-04-21,14:00,14:20,145,304.2
G10,2026-04-21,14:00,14:20,146,299.7
G10,2026-04-21,14:00,14:20,147,301.6
G10,2026-04-21,14:00,14:20,148,304.8
G10,2026-04-21,14:00,14:20,149,300.2
G10,2026-04-21,14:00,14:20,150,296.9
G10,2026-04-21,14:00,14:20,151,299.8
G10,2026-04-21,14:00,14:20,152,303.5
G10,2026-04-21,14:00,14:20,153,299.8
G10,2026-04-21,14:00,14:20,154,301.9
G10,2026-04-21,14:00,14:20,155,295.4
