grup,data,hora_inici,hora_final,capsula,pes_mg
G07,2026-04-21,12:00,12:20,1,299.6
G07,2026-04-21,12:00,12:20,2,299.1
G07,2026-04-21,12:00,12:20,3,299.8
G07,2026-04-21,12:00,12:20,4,293.9
G07,2026-04-21,12:00,12:20,5,294.7
G07,2026-04-21,12:00,12:20,6,307.2
G07,2026-04-21,12:00,12:20,7,291.7
G07,2026-04-21,12:00,12:20,8,292.4
G07,2026-04-21,12:00,12:20,9,300.7
G07,2026-04-21,12:00,12:20,10,296.8
G07,2026-04-21,12:00,12:20,11,299.0
G07,2026-04-21,12:00,12:20,12,294.2
G07,2026-04-21,12:00,12:20,13,298.5
G07,2026-04-21,12:00,12:20,14,293.0
G07,2026-04-21,12:00,12:20,15,295.0
G07,2026-04-21,12:00,12:20,16,288.4
G07,2026-04-21,12:00,12:20,17,294.5
G07,2026-04-21,12:00,12:20,18,302.2
G07,2026-04-21,12:00,12:20,19,300.0
G07,2026-04-21,12:00,12:20,20,299.1
G07,2026-04-21,12:00,12:20,21,295.1
G07,2026-04-21,12:00,12:20,22,301.3
G07,2026-04-21,12:00,12:20,23,304.3
G07,2026-04-21,12:00,12:20,24,297.9
G07,2026-04-21,12:00,12:20,25,303.6
G07,2026-04-21,12:00,12:20,26,295.3
G07,2026-04-21,12:00,12:20,27,296.7
G07,2026-04-21,12:00,12:20,28,298.5
G07,2026-04-21,12:00,12:20,29,296.5
G07,2026-04-21,12:00,12:20,30,295.6
G07,2026-04-21,12:00,12:20,31,296.9
G07,2026-04-21,12:00,12:20,32,304.7
G07,2026-04-21,12:00,12:20,33,291.1
G07,2026-04-21,12:00,12:20,34,293.0
G07,2026-04-21,12:00,12:20,35,298.6
G07,2026-04-21,12:00,12:20,36,298.3
G07,2026-04-21,12:00,12:20,37,296.3
G07,2026-04-21,12:00,12:20,38,289.9
G07,2026-04-21,12:00,12:20,39,295.1
G07,2026-04-21,12:00,12:20,40,293.0
G07,2026-04-21,12:00,12:20,41,293.3
G07,2026-04-21,12:00,12:20,42,295.0
G07,2026-04-21,12:00,12:20,43,293.2
G07,2026-04-21,12:00,12:20,44,297.7
