grup,data,hora_inici,hora_final,capsula,pes_mg
G09,2026-04-21,13:20,13:40,1,298.9
G09,2026-04-21,13:20,13:40,2,303.7
G09,2026-04-21,13:20,13:40,3,300.8
G09,2026-04-21,13:20,13:40,4,295.3
G09,2026-04-21,13:20,13:40,5,290.7
G09,2026-04-21,13:20,13:40,6,298.1
G09,2026-04-21,13:20,13:40,7,303.4
G09,2026-04-21,13:20,13:40,8,303.9
G09,2026-04-21,13:20,13:40,9,302.4
G09,2026-04-21,13:20,13:40,10,298.5
G09,2026-04-21,13:20,13:40,11,300.2
G09,2026-04-21,13:20,13:40,12,301.4
G09,2026-04-21,13:20,13:40,13,300.0
G09,2026-04-21,13:20,13:40,14,297.7
G09,2026-04-21,13:20,13:40,15,303.7
G09,2026-04-21,13:20,13:40,16,298.5
G09,2026-04-21,13:20,13:40,17,302.6
G09,2026-04-21,13:20,13:40,18,295.4
G09,2026-04-21,13:20,13:40,19,296.6
G09,2026-04-21,13:20,13:40,20,304.3
G09,2026-04-21,13:20,13:40,21,299.5
G09,2026-04-21,13:20,13:40,22,302.2
G09,2026-04-21,13:20,13:40,23,302.6
G09,2026-04-21,13:20,13:40,24,304.1
G09,2026-04-21,13:20,13:40,25,301.6
G09,2026-04-21,13:20,13:40,26,307.1
G09,2026-04-21,13:20,13:40,27,296.9
G09,2026-04-21,13:20,13:40,28,301.6
G09,2026-04-21,13:20,13:40,29,297.7
G09,2026-04-21,13:20,13:40,30,300.2
G09,2026-04-21,13:20,13:40,31,294.4
G09,2026-04-21,13:20,13:40,32,299.2
G09,2026-04-21,13:20,13:40,33,298.7
G09,2026-04-21,13:20,13:40,34,298.0
G09,2026-04-21,13:20,13:40,35,294.1
G09,2026-04-21,13:20,13:40,36,298.9
G09,2026-04-21,13:20,13:40,37,298.6
G09,2026-04-21,13:20,13:40,38,294.7
G09,2026-04-21,13:20,13:40,39,301.5
G09,2026-04-21,13:20,13:40,40,298.7
G09,2026-04-21,13:20,13:40,41,295.3
G09,2026-04-21,13:20,13:40,42,304.9
G09,2026-04-21,13:20,13:40,43,298.9
G09,2026-04-21,13:20,13:40,44,305.8
