grup,data,hora_inici,hora_final,capsula,pes_mg
G11,2026-04-21,14:40,15:00,1,304.8
G11,2026-04-21,14:40,15:00,2,282.4
G11,2026-04-21,14:40,15:00,3,295.2
G11,2026-04-21,14:40,15:00,4,297.5
G11,2026-04-21,14:40,15:00,5,305.2
G11,2026-04-21,14:40,15:00,6,299.3
G11,2026-04-21,14:40,15:00,7,297.6
G11,2026-04-21,14:40,15:00,8,296.6
G11,2026-04-21,14:40,15:00,9,302.7
G11,2026-04-21,14:40,15:00,10,302.3
G11,2026-04-21,14:40,15:00,11,304.0
G11,2026-04-21,14:40,15:00,12,301.3
G11,2026-04-21,14:40,15:00,13,292.2
G11,2026-04-21,14:40,15:00,14,290.5
G11,2026-04-21,14:40,15:00,15,300.8
G11,2026-04-21,14:40,15:00,16,301.0
G11,2026-04-21,14:40,15:00,17,295.7
G11,2026-04-21,14:40,15:00,18,293.6
G11,2026-04-21,14:40,15:00,19,305.5
G11,2026-04-21,14:40,15:00,20,300.3
G11,2026-04-21,14:40,15:00,21,299.7
G11,2026-04-21,14:40,15:00,22,295.8
G11,2026-04-21,14:40,15:00,23,309.1
G11,2026-04-21,14:40,15:00,24,290.1
G11,2026-04-21,14:40,15:00,25,297.3
G11,2026-04-21,14:40,15:00,26,298.2
G11,2026-04-21,14:40,15:00,27,304.5
G11,2026-04-21,14:40,15:00,28,300.6
G11,2026-04-21,14:40,15:00,29,296.9
G11,2026-04-21,14:40,15:00,30,296.1
G11,2026-04-21,14:40,15:00,31,295.6
G11,2026-04-21,14:40,15:00,32,295.0
G11,2026-04-21,14:40,15:00,33,291.5
G11,2026-04-21,14:40,15:00,34,288.6
G11,2026-04-21,14:40,15:00,35,296.0
G11,2026-04-21,14:40,15:00,36,304.0
G11,2026-04-21,14:40,15:00,37,297.5
G11,2026-04-21,14:40,15:00,38,299.4
G11,2026-04-21,14:40,15:00,39,298.2
G11,2026-04-21,14:40,15:00,40,291.7
G11,2026-04-21,14:40,15:00,41,293.4
G11,2026-04-21,14:40,15:00,42,290.6
G11,2026-04-21,14:40,15:00,43,298.5
G11,2026-04-21,14:40,15:00,44,296.6
G11,2026-04-21,14:40,15:00,45,304.0
G11,2026-04-21,14:40,15:00,46,296.7
G11,2026-04-21,14:40,15:00,47,301.0
G11,2026-04-21,14:40,15:00,48,295.7
G11,2026-04-21,14:40,15:00,49,300.0
G11,2026-04-21,14:40,15:00,50,303.3
G11,2026-04-21,14:40,15:00,51,285.1
G11,2026-04-21,14:40,15:00,52,297.2
G11,2026-04-21,14:40,15:00,53,310.2
G11,2026-04-21,14:40,15:00,54,297.3
G11,2026-04-21,14:40,15:00,55,298.5
G11,2026-04-21,14:40,15:00,56,301.3
G11,2026-04-21,14:40,15:00,57,299.5
G11,2026-04-21,14:40,15:00,58,292.3
G11,2026-04-21,14:40,15:00,59,299.0
G11,2026-04-21,14:40,15:00,60,297.2
