Time;Distance;HeightIncr;AccumIncr;portsE;ports1;ports2;ports3;year;week;bef_mount;aft_mount;bef_tt;aft_tt;last
256,39;160,8;-110;961;0;0;0;1;2016;1;0;0;0;1;0
268,36;176,4;240;1180;0;0;1;1;2016;1;0;0;0;0;0
245,19;163,5;535;1650;0;0;1;2;2016;1;0;0;0;0;0
256,42;171,3;345;805;0;0;0;3;2016;1;0;0;0;0;0
245;163,2;350;1268;0;0;1;0;2016;1;0;0;0;0;0
235,44;158,5;349;1370;0;0;0;3;2016;1;1;0;0;0;0
249,3;181,5;910;910;0;1;0;0;2016;2;0;0;0;0;0
227,56;164,5;-355;1760;0;0;2;3;2016;2;1;1;0;0;0
290,31;188,7;945;2045;1;1;0;0;2016;2;0;1;0;0;0
224,47;168,6;540;675;0;1;0;0;2016;2;1;0;0;0;0
271,43;193,2;-80;1870;0;1;2;1;2016;2;0;1;0;0;0
329,04;213,4;42;1846;0;0;0;4;2016;2;1;0;0;0;0
342,24;196;1550;4185;1;3;0;0;2016;2;1;1;0;0;0
174,3;118,5;1015;2348;0;1;1;1;2016;3;0;1;0;0;0
201,18;156,4;-310;750;0;0;0;1;2016;3;0;1;0;0;0
274,38;177,5;970;2320;0;1;2;1;2016;3;0;0;0;0;0
294,31;200,6;-650;1015;0;0;1;0;2016;3;0;0;1;0;0
319,41;193,2;1430;3207;1;0;4;0;2016;3;0;0;0;1;0
168,52;104,1;-105;148;0;0;0;0;2016;3;0;1;0;0;1
237,25;158,7;390;1165;0;0;0;2;2015;1;0;0;0;1;0
246,46;158,4;-15;1400;0;1;0;1;2015;1;0;0;0;0;0
307,3;209,6;168;698;0;0;0;0;2015;1;0;0;0;0;0
237,28;167,3;65;185;0;0;0;0;2015;1;0;0;0;0;0
286,16;200,3;780;1181;0;0;0;2;2015;1;1;0;0;0;0
310,24;191,1;785;1705;0;1;0;1;2015;1;0;0;0;0;0
246,05;182,5;-1180;645;0;0;0;2;2015;2;0;1;0;0;0
249,55;168,3;395;750;0;1;1;0;2015;2;0;0;0;0;0
192,43;146,6;-10;885;0;0;1;1;2015;2;0;0;0;0;0
274,54;138;990;4673;1;4;1;0;2015;2;0;0;0;0;0
242,11;173;-660;1180;0;0;1;0;2015;2;0;1;0;0;0
254,01;178;-20;1740;0;1;0;2;2015;2;1;0;0;0;0
343,12;215;1480;2910;1;1;0;1;2015;2;1;0;0;0;0
273,31;175,8;1210;2040;0;1;1;0;2015;3;1;1;0;0;0
349,56;185;1150;4080;1;1;3;2;2015;3;0;1;1;0;0
303,59;204;425;2685;0;1;0;2;2015;3;0;0;0;1;0
219,2;185,8;395;1555;0;0;1;1;2015;3;1;0;0;0;0
277,05;175,8;244;3407;0;4;0;0;2015;3;0;0;0;0;0
154,13;98,8;60;60;0;0;0;0;2015;3;0;1;0;0;1
241,3;174,4;-16;549;0;0;0;3;2014;1;0;0;0;1;0
312,14;197,8;120;1800;0;0;0;4;2014;1;0;0;0;0;0
245,55;167,4;-85;845;0;0;1;1;2014;1;0;0;0;0;0
281,47;180;110;575;0;0;0;1;2014;1;0;0;0;0;0
275,27;167,1;1165;1950;0;1;1;1;2014;1;0;0;0;0;0
241,52;169;60;1740;0;0;1;1;2014;1;0;0;0;0;0
269;207;-58;415;0;0;0;0;2014;2;1;0;0;0;0
274,14;185;925;2004;0;1;1;1;2014;2;0;0;1;0;0
221,03;153,4;760;1510;0;1;0;1;2014;2;0;0;0;1;0
251,18;166,4;0;55;0;0;0;0;2014;2;0;1;0;0;0
261,04;188,7;-650;1630;0;0;1;2;2014;2;1;0;0;0;0
318,01;200,58;1570;2993;0;2;1;0;2014;2;1;0;0;0;0
251,09;152,2;940;1795;1;0;1;0;2014;3;1;1;0;0;0
293,35;160,5;1455;4297;0;4;1;0;2014;3;1;1;0;0;0
266,07;190,7;0;245;0;0;0;0;2014;3;0;1;0;0;0
227,17;157;230;1245;0;0;2;0;2014;3;0;0;0;0;0
261,58;180,5;-35;1230;0;0;2;0;2014;3;1;0;0;0;0
311,43;185,7;1005;3290;1;1;1;1;2014;3;0;0;1;0;0
237,09;177,7;610;1244;0;1;0;1;2013;1;0;0;0;1;0
270,18;184,8;190;290;0;0;0;1;2013;1;0;1;0;0;0
277,47;189;-375;1395;0;0;0;3;2013;1;0;0;0;0;0
268,22;174,3;720;1900;0;0;0;2;2013;1;0;0;0;0;0
234,15;175;-440;540;0;0;0;0;2013;1;0;0;0;0;0
291,27;205,9;-251;748;0;0;0;0;2013;1;1;0;0;0;0
249,46;166,6;930;1720;0;1;0;0;2013;2;0;0;0;0;0
258,5;163,7;580;1549;0;0;1;0;2013;2;1;1;0;0;0
270,22;178;1060;2553;1;1;0;0;2013;2;0;0;1;0;0
243,44;164,2;-275;524;0;0;0;1;2013;2;0;1;0;1;0
240,13;169;-205;1180;0;1;0;1;2013;2;1;1;0;0;0
264;155,7;330;3015;1;1;2;0;2013;2;1;1;0;0;0
380,12;224,9;920;4620;0;4;0;0;2013;3;1;1;0;0;0
223,31;146,8;1290;2353;0;1;1;1;2013;3;0;1;0;0;0
284,28;189;500;1317;0;0;0;2;2013;3;1;0;0;0;0
286,48;186,5;-325;2370;0;1;1;3;2013;3;1;1;0;0;0
256,13;181;565;1845;0;0;2;1;2013;3;1;1;0;0;0
235,36;142,2;1547;2933;1;1;1;1;2013;3;0;1;0;0;0
144;109,6;-5;130;0;0;0;0;2013;3;0;1;0;0;1
278,4;180;5;794;0;0;0;1;2012;1;1;0;0;1;0
229,37;153;120;1699;0;1;1;2;2012;1;1;0;0;0;0
270,36;155,4;1510;2345;0;2;0;0;2012;1;0;1;0;0;0
250,37;172;3;195;0;0;0;0;2012;1;0;1;0;0;0
174,8;174,8;660;1041;0;0;0;2;2012;1;0;0;0;0;0
228,3;160;-3;653;0;0;0;0;2012;1;1;0;0;0;0
246,39;175;1390;1995;0;1;1;0;2012;2;1;0;0;0;0
285,28;194;-745;510;0;0;0;2;2012;2;0;1;0;0;0
287,24;166,4;-45;485;0;0;0;1;2012;2;0;0;1;0;0
264,32;184,6;190;677;0;0;0;1;2012;2;0;0;0;1;0
245,02;172,7;-126;520;0;0;0;0;2012;2;1;0;0;0;0
250,28;152;900;2890;0;2;1;2;2012;2;1;1;0;0;0
301,23;186,7;10;2844;1;1;0;1;2012;3;1;1;0;0;0
318,28;185;1770;3882;1;2;0;1;2012;3;1;1;0;0;0
249,2;177;1060;2229;0;0;2;1;2012;3;0;1;0;0;0
257,17;186,4;-205;335;0;0;0;0;2012;3;0;0;0;0;0
296,25;178,4;260;835;0;0;0;0;2012;3;1;0;0;0;0
288,48;169,5;1157;3737;1;3;1;0;2012;3;0;0;0;0;0
164,57;111,9;-475;15;0;0;0;0;2012;3;0;1;0;0;1
251,44;175,1;-73;570;0;0;0;1;2011;1;0;0;0;1;0
238;164;-100;1217;0;0;0;2;2011;1;1;0;0;0;0
291,53;172;1252;3292;1;1;0;1;2011;1;0;0;0;0;0
282,54;200;333;1788;0;0;2;0;2011;1;0;0;0;0;0
278,22;185,7;-645;800;0;0;1;0;2011;1;0;0;0;0;0
287,59;185;-165;285;0;0;0;0;2011;1;0;0;0;0;0
289,01;182;745;2902;0;1;2;2;2011;1;1;0;0;0;0
292,14;179,5;845;1860;1;0;0;1;2011;1;0;0;1;0;0
278;171;1280;2913;1;0;1;2;2011;2;1;0;0;1;0
243,01;160;6;935;0;0;0;2;2011;2;1;0;0;0;0
259,39;150;100;2887;0;2;0;3;2011;2;0;0;0;0;0
279,01;173,2;855;2785;1;1;1;0;2011;2;1;1;0;0;0
241,56;144;1547;2892;1;1;1;0;2011;2;1;1;0;0;0
281,56;180;-430;175;0;0;0;0;2011;2;1;1;0;0;0
292,38;212,5;160;1930;1;0;1;1;2011;3;1;0;0;0;0
264,42;169,7;-115;2360;0;1;1;3;2011;3;0;1;0;0;0
233,34;157,9;0;1515;0;0;2;2;2011;3;1;1;0;0;0
279,2;187;525;2425;0;2;1;1;2011;3;0;1;0;0;0
140,59;94;70;105;0;0;0;0;2011;3;0;1;0;0;1
275,41;173;-40;860;0;0;0;1;2010;1;0;0;0;1;0
246,12;156;-20;1609;0;1;1;0;2010;1;0;0;0;0;0
300,29;177;985;2243;0;0;2;1;2010;1;0;0;0;0;0
303,36;194;-650;912;0;0;0;0;2010;1;0;0;0;0;0
216,2;144;-532;455;0;0;0;1;2010;1;0;0;0;0;0
276,12;187,1;-16;684;0;0;0;1;2010;1;1;0;0;0;0
314,32;188;400;2749;0;1;3;1;2010;2;1;0;0;0;0
320,51;187;625;3308;0;0;5;2;2010;2;0;1;0;0;0
253,31;173,7;-20;1133;0;1;0;0;2010;2;1;0;0;0;0
325,44;208;1780;2155;1;0;0;1;2010;2;0;0;0;0;0
240,3;196;-676;1299;0;0;1;0;2010;2;0;1;0;0;0
290,18;193,7;555;1324;0;0;0;2;2010;2;1;0;0;0;0
266,43;178,8;-325;1865;1;0;2;1;2010;2;1;0;0;0;0
273,09;170;1060;1284;1;0;0;0;2010;3;1;1;0;0;0
291,59;181,4;1118;3270;1;2;0;1;2010;3;0;1;1;0;0
207,11;148,9;135;299;0;0;0;0;2010;3;0;0;0;1;0
343,41;234,3;585;1133;0;0;1;0;2010;3;1;0;0;0;0
285,28;168,8;1677;3541;1;2;0;1;2010;3;0;0;0;0;0
122,25;85;30;54;0;0;0;0;2010;3;0;1;0;0;1
